Datum,Strategie,BuyHold
2026-07-17,9990.00,10000.00
2026-07-18,9849.93,9899.01
2026-07-20,9849.93,9899.01
2026-07-21,9891.95,9879.89
2026-07-22,10114.50,9953.79
2026-07-23,10053.81,9833.46
2026-07-24,9856.16,9838.34
2026-07-27,9901.29,9839.93
2026-07-28,9727.76,9871.88
2026-07-29,9504.43,9711.14
2026-07-30,9896.62,9872.39
2026-07-31,9974.44,9941.53
2026-08-03,10010.23,10088.57
2026-08-04,10271.69,10269.12
2026-08-05,10228.12,10251.91
2026-08-06,10119.17,10233.87
2026-08-07,10215.67,10297.16
2026-08-10,10142.52,10291.14
2026-08-11,10182.98,10258.08
2026-08-12,10343.28,10285.02
2026-08-13,10377.52,10352.04
2026-08-14,10366.63,10334.48
2026-08-17,10477.13,10280.46
2026-08-18,10168.98,10209.71
2026-08-19,10288.81,10231.24
2026-08-20,10368.19,10142.55
2026-08-21,10446.00,10186.63
2026-08-24,10304.38,10175.77
