Zeitstempel,Markt,Depotwert,Positionen
2026-07-17 16:21 ET,GESCHLOSSEN,100000.00,-
2026-07-18 12:23 ET,GESCHLOSSEN,100000.00,-
2026-07-20 09:11 ET,GESCHLOSSEN,100000.00,-
2026-07-20 09:35 ET,OFFEN,100000.00,-
2026-07-20 10:16 ET,OFFEN,100640.88,SHORT EEM:-780 / LONG USO:404
2026-07-20 12:08 ET,OFFEN,100104.63,SHORT EEM:-525 / SHORT QQQ:-47 / LONG USO:269
2026-07-20 13:24 ET,OFFEN,100674.03,SHORT EEM:-780 / LONG USO:404
2026-07-20 14:15 ET,OFFEN,100614.08,LONG AAPL:62 / SHORT EEM:-315 / SHORT NVDA:-98 / SHORT QQQ:-28 / LONG USO:161
2026-07-20 15:09 ET,OFFEN,101179.33,LONG AAPL:103 / SHORT EEM:-524 / SHORT SPY:-45
2026-07-20 15:51 ET,OFFEN,101138.30,LONG AAPL:61 / SHORT EEM:-318 / SHORT NVDA:-99 / SHORT QQQ:-29 / SHORT SPY:-27
2026-07-20 16:08 ET,GESCHLOSSEN,101158.09,LONG AAPL:102 / SHORT EEM:-529 / SHORT SPY:-45
2026-07-21 03:26 ET,GESCHLOSSEN,100113.27,LONG AAPL:102 / SHORT EEM:-529 / SHORT SPY:-45
2026-07-21 11:18 ET,OFFEN,100062.25,LONG AAPL:102 / SHORT EEM:-529 / SHORT SPY:-45
2026-07-21 12:09 ET,OFFEN,100151.19,LONG USO:781
2026-07-21 13:08 ET,OFFEN,100228.89,LONG AAPL:152 / SHORT NVDA:-242
2026-07-21 14:11 ET,OFFEN,100262.23,SHORT SPY:-133
2026-07-21 15:02 ET,OFFEN,100543.69,LONG GLD:268
2026-07-21 15:14 ET,OFFEN,100749.96,LONG USO:781
2026-07-21 16:36 ET,GESCHLOSSEN,100668.20,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-22 03:17 ET,GESCHLOSSEN,101978.04,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-22 16:14 ET,GESCHLOSSEN,101934.23,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-22 16:14 ET,GESCHLOSSEN,101937.41,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-22 16:34 ET,GESCHLOSSEN,101991.78,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-23 04:16 ET,GESCHLOSSEN,102954.87,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-23 05:23 ET,GESCHLOSSEN,103287.84,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-23 06:50 ET,GESCHLOSSEN,103298.86,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
2026-07-23 08:14 ET,GESCHLOSSEN,103651.27,LONG GLD:89 / SHORT QQQ:-47 / LONG USO:260
